

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1, 1, 1, 1, 1], [1, -1, 1, -1, 1, -1, 1, -1], [1, 1, -1, -1, 1, 1, -1, -1], [1, -1, -1, 1, 1, -1, -1, 1], [1, 1, 1, 1, -1, -1, -1, -1], [1, -1, 1, -1, -1, 1, -1, 1], [1, 1, -1, -1, -1, -1, 1, 1], [1, -1, -1, 1, -1, 1, 1, -1]]        
------------------------------------------------------------------------------------


07/10/2021 12:57:51 ||| SENDER-6     ||  STARTS SENDING TO RECEIVER-6
07/10/2021 12:57:56 ||| CHANNEL...   ||  [1, -1, -1, 1, -1, 1, 1, -1]
07/10/2021 12:57:56 ||| CHANNEL...   ||  [1, -1, 1, -1, -1, 1, -1, 1]
07/10/2021 12:57:56 ||| CHANNEL...   ||  [1, -1, -1, 1, 1, -1, -1, 1]
07/10/2021 12:57:56 ||| CHANNEL...   ||  [1, 1, -1, -1, -1, -1, 1, 1]
07/10/2021 12:57:56 ||| SENDER-1     ||  DATA BIT SEND 1 1, 1, 1]
07/10/2021 12:57:56 ||| RECEIVER-7   ||  BIT RECEIVED : 1
07/10/2021 12:57:56 ||| RECEIVER-8   ||  BIT RECEIVED : 1
07/10/2021 12:57:57 ||| SENDER-2     ||  DATA BIT SEND -1 1, 1, 1, 1]
07/10/2021 12:57:57 ||| CHANNEL...   ||  [-1, 1, -1, 1, -1, 1, -1, 1]
07/10/2021 12:57:57 ||| CHANNEL...   ||  [-1, 1, 1, -1, 1, -1, -1, 1]
07/10/2021 12:57:57 ||| CHANNEL...   ||  [-1, -1, 1, 1, 1, 1, -1, -1]
07/10/2021 12:57:57 ||| CHANNEL...   ||  [-1, -1, 1, 1, -1, -1, 1, 1]
07/10/2021 12:57:57 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:57:57 ||| CHANNEL...   ||  [-1, 1, 1, -1, -1, 1, 1, -1]
07/10/2021 12:57:57 ||| CHANNEL...   ||  [-1, -1, -1, -1, -1, -1, -1, -1]
07/10/2021 12:57:57 ||| RECEIVER-8   ||  BIT RECEIVED : 0

07/10/2021 12:57:57 ||| DATA : [0, 1, 0, 0, 1, 0, 1, 0]

07/10/2021 12:57:57 ||| CHAR RECEIVED : J
 1, 0, 1, 0]

07/10/2021 12:57:57 ||| CHAR RECEIVED : J

07/10/2021 12:57:58 ||| SENDER-2     ||  DATA BIT SEND -11, 1, -1, 1]
07/10/2021 12:57:58 ||| CHANNEL...   ||  [-1, -1, -1, -1, 1, 1, 1, 1]
07/10/2021 12:57:58 ||| SENDER-7     ||  DATA BIT SEND -1, 1, -1, -1]
07/10/2021 12:57:58 ||| CHANNEL...   ||  [-1, 1, 1, -1, 1, -1, -1, 1]
07/10/2021 12:57:58 ||| SENDER-3     ||  DATA BIT SEND -1 -1, -1, -1, -1]
07/10/2021 12:57:58 ||| CHANNEL...   ||  [-1, 1, 1, -1, -1, 1, 1, -1]
07/10/2021 12:57:58 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:57:58 ||| CHANNEL...   ||  [-1, -1, 1, 1, -1, -1, 1, 1]
07/10/2021 12:57:58 ||| RECEIVER-7   ||  BIT RECEIVED : 0
